spp,hatchdat,sizename,sizeclass_cm,Trial_ID,Contact_event,Contact_Orientation,Contact_First_Bodypart,N_Contact,Time_Point,Notes,Data_Enterer,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,1,Upstream,Tail,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,2,Upstream,Tail,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,3,Upstream,Body,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,4,Upstream,Body,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,5,Downstream,Head,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,6,Downstream,Head,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,7,Downstream,Head,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,8,Downstream,Tail,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,9,Downstream,Tail,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,10,Downstream,Tail,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,11,Downstream,Tail,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,12,Downstream,Tail,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,13,Downstream,Tail,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,14,Downstream,Tail,2,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,15,Downstream,Body,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,16,Downstream,Body,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,17,Downstream,Body,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,18,Downstream,Body,2,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,19,Unknown,Head,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,20,Unknown,Head,1,t5,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,21,Unknown,Body,1,t5,back touched,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,1,Upstream,Tail,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,2,Upstream,Tail,3,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,3,Downstream,Tail,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,4,Downstream,Tail,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,5,Downstream,Tail,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,6,Downstream,Body,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,7,Downstream,Body,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,8,Downstream,Body,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,9,Unknown,Head,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,10,Unknown,Head,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,11,Unknown,Head,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,12,Unknown,Head,1,t10,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,1,Upstream,Head,3,t15,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,2,Upstream,Tail,2,t15,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,3,Upstream,Tail,1,t15,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,4,Upstream,Body,2,t15,NA,Alison,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_A,5,Downstream,Head,1,t15,NA,Alison,,,,,,,,,,
